Players,Team,Type,Base,Sold
Vaibhav Arora,Kolkata Knight Riders,BOWL,0.3,1.8
Rasikh Salam,Royal Challengers Bengaluru,BOWL,0.3,6
Akash Madhwal,Rajasthan Royals,BOWL,0.3,1.2
Mohit Sharma,Delhi Capitals,BOWL,0.5,2.2
Simarjeet Singh,Sunrisers Hyderabad,BOWL,0.3,1.5
Yash Thakur,Punjab Kings,BOWL,0.4,1.6
Vijaykumar Vyshak,Punjab Kings,BOWL,0.3,1.8
Shreyas Gopal,Chennai Super Kings,BOWL,0.3,0.3
Mayank Markande,Kolkata Knight Riders,BOWL,0.3,0.3
Suyash Sharma,Royal Challengers Bengaluru,BOWL,0.3,2.6
Karn Sharma,Mumbai Indians,BOWL,0.5,0.5
Kumar Kartikeya,Rajasthan Royals,BOWL,0.3,0.3
Manav Suthar,Gujarat Titans,BOWL,0.3,0.3
Faf du Plessis,Delhi Capitals,BAT,2,2
Glenn Phillips,Gujarat Titans,BAT,2,2
Rovman Powell,Kolkata Knight Riders,BAT,1.5,1.5
Ajinkya Rahane,Kolkata Knight Riders,BAT,1.5,1.5
Sam CuRajasthan Royalsan,Chennai Super Kings,AR,2,2.4
Marco Jansen,Punjab Kings,AR,1.25,7
Krunal Pandya,Royal Challengers Bengaluru,AR,2,5.75
Nitish Rana,Rajasthan Royals,AR,1.5,4.2
WashinGujarat Titanson Sundar,Gujarat Titans,AR,2,3.2
Shardul Thakur,Lucknow Super Giants,AR,2,Unsold
Donovan FeRajasthan Royalseira,Delhi Capitals,BAT,0.75,0.75
Josh Inglis,Punjab Kings,BAT,2,2.6
Ryan Rickelton,Mumbai Indians,BAT,1,1
Deepak Chahar,Mumbai Indians,BOWL,2,9.25
Gerald Coetzee,Gujarat Titans,BOWL,1.25,2.4
Akash Deep,Lucknow Super Giants,BOWL,1,8
Tushar Deshpande,Rajasthan Royals,BOWL,1,6.5
Lockie Ferguson,Punjab Kings,BOWL,2,2
Bhuvneshwar Kumar,Royal Challengers Bengaluru,BOWL,2,10.75
Mukesh Kumar,Delhi Capitals,BOWL,2,8
AM Ghazanfar,Mumbai Indians,BOWL,0.75,4.8
Swastik Chikara,Royal Challengers Bengaluru,BAT,0.3,0.3
Shubham Dubey,Rajasthan Royals,BAT,0.3,0.8
Shaik Rasheed,Chennai Super Kings,BAT,0.3,0.3
Himmat Singh,Lucknow Super Giants,BAT,0.3,0.3
Anshul Kamboj,Chennai Super Kings,AR,0.3,3.4
Arshad Khan,Gujarat Titans,AR,0.3,1.3
Darshan Nalkande,Delhi Capitals,AR,0.3,0.3
Anukul Roy,Kolkata Knight Riders,AR,0.3,0.4
Swapnil Singh,Royal Challengers Bengaluru,AR,0.3,0.5
Vansh Bedi,Chennai Super Kings,BAT,0.3,0.55
Kunal Singh Rathore,Rajasthan Royals,BAT,0.3,0.3
Gurnoor Brar,Gujarat Titans,BOWL,0.3,1.3
Mukesh Choudhary,Chennai Super Kings,BOWL,0.3,0.3
Arjun Tendulkar,Mumbai Indians,BOWL,0.3,0.3
Zeeshan Ansari,Sunrisers Hyderabad,BOWL,0.3,0.4
Manimaran Siddharth,Lucknow Super Giants,BOWL,0.3,0.75
Digvesh Singh,Lucknow Super Giants,BOWL,0.3,0.3
Manish Pandey,Kolkata Knight Riders,BAT,0.75,0.75
Sherfane Rutherford,Gujarat Titans,BAT,1.5,2.6
Shahbaz Ahmed,Lucknow Super Giants,AR,1,2.4
Moeen Ali,Kolkata Knight Riders,AR,2,2
Tim David,Royal Challengers Bengaluru,AR,2,3
Deepak Hooda,Chennai Super Kings,AR,0.75,1.7
Will Jacks,Mumbai Indians,AR,2,5.25
Azmatullah Omarzai,Punjab Kings,AR,1.5,2.4
Sai Kishore,Gujarat Titans,AR,0.75,2
Romario Shepherd,Royal Challengers Bengaluru,AR,1.5,1.5
Spencer Johnson,Kolkata Knight Riders,BOWL,2,2.8
Umran Malik,Kolkata Knight Riders,BOWL,0.75,0.75
Ishant Sharma,Gujarat Titans,BOWL,0.75,0.75
